system:index,date,path,row,sat,.geo
1_2_LE07_106061_20061220,2006-12-20,106.0,61.0,LANDSAT_7,
1_2_LE07_106061_20070121,2007-01-21,106.0,61.0,LANDSAT_7,
1_2_LE07_106061_20070222,2007-02-22,106.0,61.0,LANDSAT_7,
1_2_LE07_106061_20070411,2007-04-11,106.0,61.0,LANDSAT_7,
1_1_LT05_106061_20070419,2007-04-19,106.0,61.0,LANDSAT_5,
1_2_LE07_106061_20070427,2007-04-27,106.0,61.0,LANDSAT_7,
1_1_LT05_106061_20070505,2007-05-05,106.0,61.0,LANDSAT_5,
1_2_LE07_106061_20070513,2007-05-13,106.0,61.0,LANDSAT_7,
1_2_LE07_106061_20070529,2007-05-29,106.0,61.0,LANDSAT_7,
1_2_LE07_106061_20070614,2007-06-14,106.0,61.0,LANDSAT_7,
1_2_LE07_106061_20070817,2007-08-17,106.0,61.0,LANDSAT_7,
1_2_LE07_106061_20071020,2007-10-20,106.0,61.0,LANDSAT_7,
1_2_LE07_106061_20071223,2007-12-23,106.0,61.0,LANDSAT_7,
1_2_LE07_106061_20080124,2008-01-24,106.0,61.0,LANDSAT_7,
1_2_LE07_106061_20080209,2008-02-09,106.0,61.0,LANDSAT_7,
1_2_LE07_106061_20080225,2008-02-25,106.0,61.0,LANDSAT_7,
1_2_LE07_106061_20080312,2008-03-12,106.0,61.0,LANDSAT_7,
1_2_LE07_106061_20080429,2008-04-29,106.0,61.0,LANDSAT_7,
1_2_LE07_106061_20080515,2008-05-15,106.0,61.0,LANDSAT_7,
1_2_LE07_106061_20080531,2008-05-31,106.0,61.0,LANDSAT_7,
1_2_LE07_106061_20080819,2008-08-19,106.0,61.0,LANDSAT_7,
1_2_LE07_106061_20081006,2008-10-06,106.0,61.0,LANDSAT_7,
1_2_LE07_106061_20081022,2008-10-22,106.0,61.0,LANDSAT_7,
1_2_LE07_106061_20081209,2008-12-09,106.0,61.0,LANDSAT_7,
1_2_LE07_106061_20081225,2008-12-25,106.0,61.0,LANDSAT_7,
1_1_LT05_106061_20090203,2009-02-03,106.0,61.0,LANDSAT_5,
1_2_LE07_106061_20090211,2009-02-11,106.0,61.0,LANDSAT_7,
1_1_LT05_106061_20090307,2009-03-07,106.0,61.0,LANDSAT_5,
1_2_LE07_106061_20090331,2009-03-31,106.0,61.0,LANDSAT_7,
1_1_LT05_106061_20090408,2009-04-08,106.0,61.0,LANDSAT_5,
1_2_LE07_106061_20090416,2009-04-16,106.0,61.0,LANDSAT_7,
1_1_LT05_106061_20090424,2009-04-24,106.0,61.0,LANDSAT_5,
1_2_LE07_106061_20090502,2009-05-02,106.0,61.0,LANDSAT_7,
1_2_LE07_106061_20090518,2009-05-18,106.0,61.0,LANDSAT_7,
1_2_LE07_106061_20090603,2009-06-03,106.0,61.0,LANDSAT_7,
1_2_LE07_106061_20090705,2009-07-05,106.0,61.0,LANDSAT_7,
1_2_LE07_106061_20091025,2009-10-25,106.0,61.0,LANDSAT_7,
1_2_LE07_106061_20100113,2010-01-13,106.0,61.0,LANDSAT_7,
